"City","FAA","IATA","ICAO","Airport","Role","Enplanements"
"Dallas–Fort Worth","DFW","DFW","KDFW","Dallas–Fort Worth International Airport","P-L",27100656
"Del Rio","DRT","DRT","KDRT","Del Rio International Airport","P-N",13180
"El Paso","ELP","ELP","KELP","El Paso International Airport","P-S",1509093
"Fort Hood / Killeen / Temple","GRK","GRK","KGRK","Killeen-Fort Hood Regional Airport / Robert Gray Army Airfield","P-N",243861
"Harlingen","HRL","HRL","KHRL","Valley International Airport","P-S",373438
"Houston","IAH","IAH","KIAH","George Bush Intercontinental Airport","P-L",19528627
"Houston","HOU","HOU","KHOU","William P. Hobby Airport","P-M",4357835
"Laredo","LRD","LRD","KLRD","Laredo International Airport","P-N",112520
"Longview","GGG","GGG","KGGG","East Texas Regional Airport","P-N",21830
"Lubbock","LBB","LBB","KLBB","Lubbock Preston Smith International Airport","P-S",508858
"McAllen","MFE","MFE","KMFE","McAllen-Miller International Airport","P-N",344302
"Midland","MAF","MAF","KMAF","Midland International Airport","P-S",445043
"San Angelo","SJT","SJT","KSJT","San Angelo Regional Airport (Mathis Field)","P-N",56021
"San Antonio","SAT","SAT","KSAT","San Antonio International Airport","P-M",3916320
"Tyler","TYR","TYR","KTYR","Tyler Pounds Regional Airport","P-N",74357
"Waco","ACT","ACT","KACT","Waco Regional Airport","P-N",61401
"Wichita Falls","SPS","SPS","KSPS","Wichita Falls Municipal Airport / Sheppard Air Force Base","P-N",44296
"Provo","PVU","PVU","KPVU","Provo Municipal Airport","P-N",14858
"Salt Lake City","SLC","SLC","KSLC","Salt Lake City International Airport","P-L",9993198
"St. George","DXZ","SGU","KDXZ","St. George Municipal Airport (opened 2011)","P-N [nb 15]",48582
"Wendover","ENV","ENV","KENV","Wendover Airport (charter flights)","P-N [nb 16]",46264
"Burlington","BTV","BTV","KBTV","Burlington International Airport","P-S",747559
"Charlottesville","CHO","CHO","KCHO","Charlottesville-Albemarle Airport","P-N",169843
"Lynchburg","LYH","LYH","KLYH","Lynchburg Regional Airport (Preston Glenn Field)","P-N",55307
"Newport News","PHF","PHF","KPHF","Newport News/Williamsburg International Airport","P-S",504292
"Norfolk","ORF","ORF","KORF","Norfolk International Airport","P-M",1786594
"Richmond","RIC","RIC","KRIC","Richmond International Airport (Byrd Field)","P-S",1733668
"Roanoke","ROA","ROA","KROA","Roanoke Regional Airport (Woodrum Field)","P-N",315293
"Washington D.C. (Arlington County)","DCA","DCA","KDCA","Ronald Reagan Washington National Airport","P-L",8704466
"Washington D.C. (Chantilly / Dulles)","IAD","IAD","KIAD","Washington Dulles International Airport","P-L",11348775
